#{"t_start": 1605971973.361055, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-503.731237,111,1.130096,0
-1444.954516,152,1.395691,0
-1416.50476,132,1.595282,0
-1569.883104,110,1.761576,0
-1371.592905,134,1.96872,0
-1553.903623,142,2.176428,0
-1406.807894,143,2.389623,0
-1737.866993,219,2.726298,0
-1209.572907,210,3.044129,0
-1359.71876,141,3.261481,0
-1432.535877,132,3.467181,0
-1346.308464,130,3.652493,0
-1579.120714,158,3.888611,0
-1472.911762,107,4.051445,0
-1393.880255,110,4.208619,0
-1329.601681,149,4.439748,0
-1425.380391,163,4.710185,0
-1430.266943,121,4.904238,0
-1318.272867,130,5.10676,0
-1326.621988,175,5.372586,0
-420.64126,92,5.508509,0
-446.656768,63,5.610252,0
-1394.700342,196,5.907985,0
-511.110638,98,6.050035,0
-1497.096176,129,6.25006,0
-1543.281808,194,6.539356,0
-1369.858865,122,6.718936,0
-1308.956289,107,6.887311,0
-482.744383,66,6.982252,0
-1362.256918,129,7.180033,0
-424.832493,51,7.256102,0
-1435.224485,117,7.435445,0
-1288.548512,143,7.642971,0
-427.282139,67,7.751192,0
-1647.474228,144,7.963727,0
-1419.018942,126,8.157372,0
-502.990655,66,8.255303,0
-527.947296,73,8.374526,0
-1365.629013,121,8.55363,0
-402.776401,42,8.626687,0
-1403.212848,125,8.809998,0
-498.594519,62,8.909729,0
-1408.837767,121,9.097655,0
-498.270973,67,9.198906,0
-1370.718948,116,9.381382,0
-1276.190069,116,9.556158,0
-439.882626,55,9.63649,0
-392.288873,44,9.703753,0
-437.409115,54,9.779736,0
-1290.081235,110,9.954329,0
-1308.326331,118,10.133621,0
-1262.954458,104,10.287379,0
-509.889443,60,10.376895,0
-1389.772704,104,10.543545,0
-1422.061982,113,10.709766,0
-382.695035,37,10.776196,0
-469.328538,57,10.86156,0
-1400.540938,104,11.016052,0
-1353.781838,105,11.176744,0
-492.492866,62,11.264122,0
-535.196639,66,11.368865,0
-1418.731619,108,11.530913,0
-1387.088849,110,11.702424,0
-474.767002,58,11.795523,0
-1332.561105,109,11.954369,0
-457.086721,52,12.041766,0
-373.149315,34,12.094707,0
-1423.207641,119,12.272303,0
-1364.413764,102,12.428967,0
-1286.36852,109,12.604361,0
-1288.767208,107,12.765218,0
-399.864994,43,12.832113,0
-460.493154,53,12.923691,0
-420.794583,46,12.997122,0
-375.875658,35,13.047324,0
-1419.19501,111,13.217027,0
-1342.857648,114,13.383086,0
-1492.490208,115,13.55897,0
-1368.503937,104,13.722513,0
-1314.710052,110,13.906191,0
-1374.622764,107,14.060309,0
-1387.202968,122,14.25114,0
-1383.025669,112,14.412329,0
-1650.992472,125,14.608789,0
-1286.119284,104,14.767137,0
-1474.835751,122,14.944778,0
-1328.236093,104,15.107348,0
-1453.132629,129,15.29629,0
-1292.925307,107,15.469383,0
-1495.087917,114,15.632644,0
-1309.970059,101,15.796843,0
-398.742698,43,15.858608,0
-1468.625587,122,16.052386,0
-1271.000528,105,16.201225,0
-1494.208919,133,16.410513,0
-459.684958,63,16.500534,0
-1348.977333,109,16.670901,0
-1554.6912,126,16.859768,0
-1299.384383,106,17.01997,0
-1267.506358,101,17.175327,0
-1304.806952,128,17.364556,0
-1368.58861,97,17.515667,0
-1386.564175,95,17.657138,0
-1311.45825,99,17.811084,0
-1253.007461,105,17.969533,0
-1263.434242,112,18.145413,0
-1374.356624,101,18.298221,0
-366.415748,39,18.353387,0
-462.36585,54,18.446688,0
-1299.889498,103,18.600296,0
-1385.480528,88,18.739009,0
-1454.322048,93,18.87859,0
-1307.9302,91,19.021723,0
-1408.487555,95,19.165492,0
-1423.564727,109,19.331039,0
-1320.942789,101,19.478099,0
-1247.270413,99,19.632669,0
-1305.309379,99,19.801347,0
-1296.97222,98,19.983189,0
-1393.948401,94,20.145428,0
-1295.999086,105,20.337008,0
-494.648898,69,20.465184,0
-1302.441729,100,20.635852,0
-1578.172095,137,20.851099,0
-453.653867,56,20.933296,0
-1306.778231,103,21.090902,0
-1581.324311,130,21.289202,0
-1408.084529,110,21.459214,0
-1307.172407,107,21.624713,0
-1325.293607,105,21.777071,0
-1545.475003,129,21.977015,0
-1325.880081,116,22.168097,0
-1342.703469,96,22.325058,0
-1280.839435,99,22.48952,0
-1224.398592,107,22.675674,0
-1275.184949,105,22.842122,0
-1593.604481,121,23.05217,0
-329.18852,30,23.09761,0
-1364.964733,105,23.260552,0
-1357.473818,106,23.416793,0
-1277.909406,101,23.660839,0
-1384.651084,90,23.794898,0
-1369.137299,122,23.995165,0
-1299.203082,102,24.1543,0
-1258.195009,101,24.321103,0
-1353.626988,92,24.459607,0
-1302.822357,110,24.636096,0
-387.413146,45,24.713938,0
-1273.763452,100,24.873003,0
-1208.473531,96,25.042185,0
-1245.332053,104,25.211492,0
-1359.47501,106,25.383904,0
