#{"t_start": 1604984352.9303923, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1393.493852,232,1.063155,0
-1547.973523,163,1.453632,0
-1509.060651,130,2.204756,0
-1497.487884,103,2.618629,0
-1369.814915,91,3.019353,0
-1330.128668,91,3.393439,0
-1507.423111,107,3.765936,0
-1489.316949,103,4.209864,0
-1326.167915,86,4.554349,0
-1282.39936,85,4.624285,0
-1410.234909,97,4.969977,0
-1288.677453,83,5.326061,0
-1296.238788,94,5.701165,0
-1282.790015,90,6.062731,0
-1298.000848,83,6.448925,0
-1330.897391,89,6.823039,0
-1289.565088,86,7.214171,0
-1264.474671,86,7.28171,0
-1325.959643,83,7.652691,0
-1272.148419,84,8.052583,0
-1412.549276,96,8.436884,0
-1305.045342,103,8.825168,0
-1335.661799,101,9.196844,0
-1256.20297,89,9.573534,0
-1292.646051,88,9.915521,0
-1378.847672,87,10.291682,0
-1367.629593,87,10.680729,0
-1385.908444,84,11.038147,0
-1366.225818,96,11.123647,0
-1453.390481,108,11.808548,0
-1370.804538,86,11.879188,0
-1378.093384,96,12.224449,0
-1501.905861,104,12.625895,0
-1338.455213,80,12.975225,0
-1329.300446,89,13.350378,0
-1296.823894,87,13.690258,0
-1276.84324,76,14.047782,0
-1306.055992,90,14.427871,0
-1342.623013,92,14.761978,0
-1387.122591,94,14.849368,0
-1456.279574,103,15.574696,0
-1571.095838,114,15.920873,0
-1412.737089,108,16.260745,0
-1531.005249,132,16.663158,0
-1462.764174,124,17.078621,0
-1416.269509,106,17.457073,0
-1306.089807,108,17.908863,0
-1503.644313,137,18.761639,0
-1281.882634,109,19.180513,0
-1382.194042,116,19.62359,0
-1752.993676,157,20.439376,0
-1275.126912,105,20.85761,0
-1456.84386,134,21.28889,0
-1433.057562,115,21.69653,0
-1260.004284,103,22.128417,0
-1366.379346,106,22.575609,0
-1272.195995,109,23.145098,0
-1361.454863,121,23.912171,0
-1293.68051,104,24.293793,0
-1320.460174,105,24.717313,0
-1326.827841,107,25.098139,0
-1513.206637,138,25.557371,0
-1312.37349,106,25.973217,0
-374.914315,42,26.356382,0
