#{"t_start": 1605156579.3429224, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1223.148314,263,2.301901,0
-396.760427,66,2.839581,0
-1355.24344,206,4.010384,0
-1296.04754,128,4.639696,0
-1254.686102,110,5.250084,0
-451.452912,63,5.794185,0
-1323.942804,112,6.405121,0
-469.219204,57,6.936123,0
-410.688342,43,6.977357,0
-1318.044185,121,7.576171,0
-1280.690229,111,8.235059,0
-1282.073873,103,8.885847,0
-1397.745314,112,9.515858,0
-1294.676684,103,10.123735,0
-419.965628,46,10.6872,0
-507.097859,61,11.239359,0
-449.431735,55,11.303696,0
-1235.788047,103,11.938399,0
-477.642557,56,12.511892,0
-1254.882382,102,13.127913,0
-357.984372,37,13.166454,0
-328.861036,31,13.194836,0
-1276.782037,102,13.807325,0
-1354.196903,109,14.435715,0
-1345.126533,115,15.600556,0
-1299.384226,108,16.214396,0
-1669.21313,165,16.888736,0
-1493.025391,104,17.495527,0
-338.138818,33,18.063848,0
-1647.492764,116,18.686021,0
-1590.584758,119,19.31381,0
-1276.903375,101,19.916856,0
-1398.343267,95,20.529959,0
-1519.527479,158,21.746908,0
-1393.536462,93,22.349224,0
-1282.196876,84,22.430062,0
-1325.515989,83,23.032696,0
-1381.337495,87,23.626728,0
-1323.145478,103,24.230772,0
-1304.245557,103,24.847895,0
-1387.980078,86,25.460331,0
-1429.466475,89,26.049827,0
-1223.673244,103,26.687206,0
-1374.431509,85,27.269191,0
-407.391255,44,27.318674,0
-1233.937919,82,27.910693,0
-1229.791938,112,28.51927,0
-1329.893073,102,29.168399,0
-444.723603,48,29.729579,0
-1259.316923,88,30.345758,0
-1400.186561,94,30.450025,0
-1340.260827,102,31.555401,0
-1337.577672,86,31.645022,0
-1814.661711,132,32.79398,0
-1249.535746,110,33.40467,0
-1263.950927,99,34.025442,0
-1323.718116,88,34.617786,0
-1255.263741,83,34.704104,0
-1579.546162,110,35.827142,0
-1352.134163,86,35.912602,0
-487.898083,62,36.500614,0
-1337.899904,108,37.109376,0
-477.332266,55,37.682809,0
-1358.83103,85,38.281649,0
-1447.479589,141,38.941594,0
-1327.738853,87,39.533617,0
-368.370588,49,39.58215,0
-1292.965814,106,40.218348,0
-410.713165,43,40.754556,0
-1246.446405,128,41.410871,0
-391.722981,39,41.453395,0
-1218.352434,84,42.031943,0
-443.20805,55,42.595753,0
-1236.587125,86,43.167083,0
-1305.84288,104,43.786817,0
-1246.588691,88,44.370364,0
-1379.695932,125,45.001246,0
-1530.619853,99,45.584955,0
-1360.38326,119,46.212216,0
-564.730469,63,46.757074,0
-1313.648447,116,47.381433,0
-457.406855,51,47.432482,0
-1374.204576,133,48.552801,0
-1237.145973,142,49.210864,0
-1546.538156,103,49.824769,0
-1398.702855,97,50.416377,0
-481.235337,55,50.970805,0
-471.840612,52,51.036781,0
-1307.813548,82,51.636763,0
-1226.878847,84,52.249506,0
-514.317946,75,52.820469,0
-1418.995407,103,53.43134,0
-1334.500444,116,54.049605,0
-636.793997,89,54.65694,0
-1232.406716,149,55.304532,0
-589.764854,76,55.905805,0
-497.530021,57,56.458425,0
-536.075313,77,56.545752,0
-452.837656,77,57.192337,0
-617.767281,80,57.818819,0
