#{"t_start": 1606382012.5693095, "env_id": "quad-withArm_1Dof-v0"}
r,l,t,finstate
-1494.016062,144,1.193702,0
-1344.011078,166,1.607318,0
-1431.740876,141,1.977589,0
-1578.383453,263,2.675937,0
-1365.917354,137,3.030368,0
-503.221564,79,3.2686,0
-1221.160998,117,3.593036,0
-618.105254,174,4.043817,0
-1306.580467,199,4.599558,0
-1678.35504,260,5.249982,0
-1775.89469,298,6.158871,0
-1695.985798,262,6.775551,0
-1376.433038,249,7.346574,0
-1570.75634,181,7.753334,0
-1342.024888,151,8.163917,0
-703.559186,140,8.487046,0
-1585.179217,180,8.887475,0
-1374.153671,194,9.370747,0
-1304.823641,207,9.896194,0
-1417.717259,133,10.290732,0
-1519.56882,147,10.647296,0
-525.139211,67,10.822406,0
-1871.025469,234,11.413751,0
-543.948518,91,11.646789,0
-1465.175589,151,12.088681,0
-1438.845764,161,12.524987,0
-1383.040317,127,12.873944,0
-1428.199577,241,13.504201,0
-1287.485401,124,13.860765,0
-1575.947723,180,14.319713,0
-1225.106792,243,14.990285,0
-1691.586768,220,15.778876,0
-1595.015352,301,16.605358,0
-1386.249432,202,17.167857,0
-1456.733488,214,17.731388,0
-1543.864435,210,18.321079,0
-1451.225718,222,18.952051,0
-1581.089522,172,19.413405,0
-458.419493,151,19.814592,0
-1326.482903,164,20.250064,0
-1975.338362,304,21.143579,0
-1704.955036,285,21.945993,0
-1697.451115,318,22.88702,0
-1561.234972,278,23.703548,0
-1298.370376,180,24.202297,0
-1560.744777,210,24.8524,0
-411.386739,66,25.031419,0
-1183.111407,180,25.58279,0
-1669.227039,274,26.383318,0
-1386.422142,165,26.844588,0
-558.316886,99,27.135498,0
-836.220959,179,27.636594,0
-562.891371,163,28.121336,0
-2050.816905,335,29.055964,0
-700.771237,144,29.467707,0
-774.601758,182,30.015445,0
-1635.430374,251,30.745188,0
-1461.703387,238,31.459784,0
-1721.429805,196,32.033448,0
-1667.806869,209,32.637709,0
-1375.273054,204,33.203868,0
-1388.455869,185,33.761586,0
-1508.126525,178,34.293478,0
-1842.555015,303,35.208413,0
-1866.559722,330,36.15467,0
-455.334921,170,36.636739,0
-1375.79312,309,37.559803,0
-1391.223188,273,38.486566,0
-1650.598159,377,39.628546,0
-1173.4724,227,40.299231,0
-1749.922849,211,40.882067,0
-1208.18682,236,41.597217,0
-1599.385113,223,42.2795,0
-1585.783108,139,42.687678,0
-1633.296328,205,43.309265,0
-1522.734276,219,43.926505,0
-1605.579751,248,44.669082,0
-434.309455,75,44.916871,0
-1517.608342,248,45.642219,0
-1359.671485,401,46.808133,0
-1170.247706,395,47.983078,0
-2162.51197,232,48.662891,0
-1923.230764,263,49.430842,0
-2062.82042,311,50.337508,0
-1465.666641,277,51.134012,0
-1577.68692,264,51.961388,0
-1436.536571,216,52.542109,0
-1508.227009,401,53.711391,0
-1873.366366,345,54.707576,0
-1945.266122,248,55.422068,0
-2083.251563,259,56.182286,0
-1281.969176,232,56.854497,0
-1437.4487,156,57.3223,0
-1515.717534,168,57.801971,0
-774.316001,233,58.497524,0
-1418.681474,142,58.904898,0
-413.889892,81,59.151167,0
-1526.21958,185,59.70557,0
-1457.623171,266,60.484622,0
-1704.124131,206,61.098747,0
-1787.241476,345,62.145963,0
-1541.707158,246,62.872299,0
-1662.736374,203,63.45805,0
-1481.589488,190,64.097937,0
-653.993963,185,64.70678,0
-547.630901,139,65.133673,0
-1514.732923,175,65.699361,0
-1596.890393,241,66.531906,0
-786.428105,192,67.120635,0
-1764.913382,194,67.738747,0
-1439.353434,228,68.485286,0
-1402.848265,189,69.122891,0
-1434.850965,225,69.825392,0
-2577.512744,279,70.785302,0
-1605.430975,228,71.482489,0
-1423.288925,192,72.08912,0
-1639.53181,166,72.663343,0
-732.90158,169,73.204498,0
-618.023577,135,73.608228,0
-1601.949857,211,74.29119,0
-1505.035804,178,74.922202,0
-1625.505759,157,75.387356,0
-1286.933915,206,76.058253,0
-1832.736105,188,76.702177,0
-1717.01332,268,77.494174,0
-459.163328,69,77.742296,0
-1213.881631,236,78.594959,0
-1445.82587,191,79.164382,0
-1475.571886,171,79.671243,0
-1384.556625,163,80.267241,0
-513.778801,105,80.594619,0
-396.913916,87,80.881948,0
-1454.450305,185,81.469476,0
-1375.341936,194,82.025835,0
-1479.336389,238,82.72092,0
-1541.844365,214,83.39214,0
-1351.456114,156,83.859698,0
-1354.666431,184,84.402246,0
-1498.942416,200,85.03695,0
-1334.130777,178,85.56991,0
-1567.311832,160,86.044829,0
-1268.726709,150,86.538861,0
-1509.692968,184,87.180662,0
-1422.15783,167,87.807091,0
-1632.356514,194,88.500205,0
-1853.640095,183,89.078183,0
-1566.538475,186,89.657882,0
-1685.963846,174,90.159944,0
-1517.522433,190,90.739303,0
-1634.763793,201,91.314023,0
-1685.053525,198,91.946821,0
-485.69074,85,92.185327,0
-1532.053673,186,92.757294,0
-1295.032278,161,93.248269,0
-1603.156605,178,93.825058,0
-1642.93225,166,94.313205,0
-1660.683161,213,95.000455,0
-1682.782437,186,95.767346,0
-1478.435827,164,96.326161,0
-1449.746465,202,97.013006,0
-1391.215543,177,97.521493,0
-1416.42071,178,98.135088,0
-1646.304044,160,98.669754,0
-1582.195172,241,99.410584,0
-408.420978,68,99.595375,0
-1485.549486,153,100.097755,0
-1525.591831,191,100.782482,0
-415.816153,78,101.051419,0
-429.620524,102,101.316024,0
-1517.238058,168,101.861255,0
-1486.302518,179,102.376922,0
-1542.797419,165,102.858492,0
-543.807245,84,103.12404,0
-1257.313796,134,103.538303,0
-1420.207392,114,103.886495,0
-1290.322455,154,104.330205,0
-508.035189,79,104.593975,0
-1655.042529,176,105.09209,0
-1706.066208,201,105.720769,0
-1428.263619,146,106.165983,0
-1225.360438,145,106.579958,0
-1522.524869,175,107.221587,0
-421.873512,57,107.473619,0
-489.189289,109,107.913217,0
-1640.669857,165,108.499857,0
-1225.235519,195,109.126772,0
-520.307887,75,109.37517,0
-1264.816702,139,109.799278,0
-1307.249262,154,110.313923,0
-1258.796628,147,110.794548,0
-1554.299955,144,111.26906,0
-1516.252585,148,111.716575,0
-1573.016572,148,112.211673,0
-1428.260291,208,112.89588,0
-1470.123763,171,113.419401,0
-1372.929926,176,113.931738,0
-1470.098993,152,114.388654,0
-1267.911287,173,114.913947,0
-1548.422105,176,115.435095,0
-1292.102947,141,115.86202,0
-454.379057,86,116.149611,0
-1509.321631,168,116.649866,0
-1654.608701,161,117.117671,0
-625.914003,121,117.497827,0
-1255.196258,211,118.165212,0
-1261.027148,187,118.75219,0
-485.995405,112,119.166914,0
-442.667136,76,119.493753,0
-499.334902,95,119.85213,0
-1636.018111,178,120.455196,0
-1306.944722,170,120.998773,0
-1500.135724,234,121.705971,0
-862.821174,203,122.343133,0
-501.664257,76,122.528444,0
-1886.81192,319,123.527371,0
-1466.062544,258,124.321479,0
-1440.420341,263,125.129166,0
-479.604593,79,125.389859,0
-2062.75553,223,126.038447,0
-1417.546403,213,126.722682,0
-1449.017873,170,127.233743,0
